paymentId;TID;NSU;Date;PaymentDate;AuthCode;CNPJ;ValorTransacao;ValorParcela;Bandeira;CNPJ;
UgNTnlLJkTgDCopMSpiJBFCPdPhsGJzkao;e21fb3e2-c40a-41c2-b808-149f40b7f3ec;3812570491;1/07/2023;6/01/2023;1461222859770896;47215768170401;32443.04;77434.09;tOfGtDtzZJfCTt;mKiAJuMlZgAzFI;
bwZIDZXEiOGZCHZMIntqKThKtfIudpvNkM;3d99b79c-f78c-4b7c-a6a5-b40bc62a6c6c;2461861437;15/01/2023;9/06/2023;6629962981023937;13904225036996;86134.29;05742.86;VKpyMQyfrRaoxI;smSbkYdrnGTUJf;
iCkQZkLSuZBPWvvYnvTKcWRNaacuLGQcqN;138b5389-7966-48f3-8335-bc215015c894;4464772416;7/01/2023;25/06/2023;4460481861891166;02327538120348;09942.13;27706.25;ifvVDtAgGbbfyL;MreEphgESvQlJl;
fOAtyLKPzAwMFeWLwoeHLFfHWBuwyoYnGi;85fbd31a-de04-42e8-b69b-21d782e2229e;0545637125;2/05/2023;4/09/2023;9338627972579959;04908481895726;72340.41;11140.06;eTBhQcNSUGOmcj;mBWAijDehyBvKT;
MwOQaYLVcMfrmFurHTuhzgZFDgyxRqUZYH;bac41fcb-4363-4bb1-9ee0-761c84448728;4151195667;14/09/2023;20/08/2023;8717973278990349;65364752830307;40370.02;30140.06;InbEVibgCOekxV;wsoGswcGOTiSjC;
wMjvRtpSbrnpsUmmBFQoGVTiZRPuCtaMbn;f24d9f46-8b8f-43bb-b02d-9a302296920c;4991170923;6/03/2023;21/07/2023;5306504617388683;61394219993638;66998.20;06022.31;hvrHGPTNAVlIkr;fsduYlzJkUtlWK;
eFsyZJCDgQLrRSlXblKqjyOtwyuuUJgGBv;40d8e363-0fee-476d-b8db-00e290583a36;2329552130;5/04/2023;7/03/2023;3236430352518786;68290884257187;50956.03;73640.20;EZpLboMrJlxqtl;MkcrqKjJDGWgFK;
iMPfnstkIHZbTnHzMAKVNJEhSxqssBGMCz;6cfdbec0-0576-4068-a608-a53efcb3b4be;9620698355;26/06/2023;3/09/2023;4293095723910414;04152770152989;42677.54;70424.78;bnGdAzAfMxMdqW;TNFmOuAhMDwHhx;
HaILHsHxYgisbMKLjidKYZgucfqxzyTTOy;40ef5894-6c2d-4cf1-aef8-0dfa7a6baa28;0880305493;16/07/2023;9/07/2023;0925517075872935;85414794010052;87290.61;06375.75;RTtGzTBpTHsPOt;xhFxHjMVgLfhzj;
RHejRRSchQeMSXIAEyfBsYIYEEtdpxnLRG;b1e728d1-f0bf-4ac1-a575-25130d0f1125;6074441774;6/04/2023;5/07/2023;5489202105748039;34280693338941;23745.82;49064.31;VMDzNdKfeRmJUa;ZMVJCaQgTBWBeW;
KBtKRNQdrJxUabpNXDmOjRypBrvUzpPIRx;31159d66-4f32-4c36-92bc-1207e2b6f054;1178862082;3/03/2023;18/02/2023;0922384954046330;23373551085568;19537.74;39704.78;sUotIAeenSWYrp;THopCAezhjIATu;
UMQTaNgxlSTBBYMyibmQCsWIuxlSjUAyIO;6bf42aab-aa3b-49c9-b412-4f76c9626ee0;4526424859;15/02/2023;28/05/2023;9200480465556871;94836422225946;96845.78;82177.41;prySmvGkVUSylg;ydPIixkGtqlliC;
QNWTGcZMNfjAxZEVqTbSaCLRAdbGMdIytC;1aab2d68-cc01-43d8-806c-b3777489a27d;1091225564;15/04/2023;10/05/2023;3383979860426794;28726710147081;11649.10;81062.93;pGsnqBrheZWUic;qUTgdGJcjbCrSa;
pBPqczTWWSNnxUSwHAkVuZDnJKjHLOxxcl;b7be40a6-57ff-4ea7-bdee-5739eeb1e400;7874670205;18/02/2023;18/02/2023;7316339723099225;34755412778173;58403.54;47457.37;pOoZuXyQABexIY;xgdNdACMbHGwHa;
DjNBAOdRzqFybNzCQSTqaaKpyRhoRwjoJj;f8ae7f82-3a3b-4ffa-bbde-e0152c9466b8;7865616898;13/01/2023;13/06/2023;8868012714693543;72781415575595;05031.35;19641.08;IiBTGeuHSdgzeP;OCwHpDYJryiOdo;
nGiPEVeErJOLxwEQgFXTWLvbLVQtvCHVUn;aee8cf47-db65-4385-a74d-724630f97bcf;8647972503;13/09/2023;24/07/2023;5241797209609027;27143037951324;27238.76;32390.94;iFgCyvgCaZaefI;zHgWbaIuLRUjZA;
gfAWPiLiMltzEiASSecBesONCODDCfHcZr;ea0aebc4-53bb-4d13-8d85-a69a8b531428;6209868803;8/02/2023;30/01/2023;1830866431466658;38935457731727;34356.15;19138.14;sEyEcKIpDwevmN;URLDBIjbdClcPf;
ErZiTRmUjezbKRPUEQqmBCfGYBdUbUFgsQ;429c4583-88aa-45c1-ad49-b0dc1aad7f05;0656292488;14/09/2023;17/01/2023;0078467361787191;22263320787604;75833.32;89561.25;pFSOYRwJIylDmD;MmgcquneIXiKgQ;
ZqFVPbiwFoMjEUxzzTxydBVJcupIQZwIlq;7b5c39b6-ab14-4743-afa2-166b4662cdf3;6018928444;22/05/2023;15/06/2023;2348763133584985;70473342172769;98288.23;25956.57;stpcoemJCGRphZ;jibJGPoHAJKhEq;
MjdLKBEDNQmiGHoDntNVhkITdEUdDVUoXM;155135ce-863f-4d6f-882c-6f4a374ec856;6906863753;15/08/2023;1/09/2023;2484444871507537;52952801184015;21045.83;61657.32;xJXLJWnGtOjUZB;psiJlldEiySdiT;
jamHzsvHugGagpEePbojJnSxZMXEkELRoP;dabc23ce-b6ca-4246-949a-49e84a823518;9325519411;26/02/2023;10/01/2023;6731604458419251;45579460888654;73025.72;83552.90;nHLyoxrMLDOQnH;VIdkajxwKAFIkZ;
rUuYwsUwKObbuorfAdaqTCBbTrjgbyUIHq;3b964c7e-df0f-403a-bc54-e4b8b75ce8cc;4699510512;30/04/2023;17/05/2023;4658912940684171;51827651639271;90050.90;70623.22;bqoTukdFKLASVY;AfsTRdpoJsVJYT;
RIXPxnOBEkfIZiJtYzfBMADsDVsJDAKhXn;6c4773ec-57aa-4be6-b99a-c7056cf2dbb9;0609584979;10/04/2023;4/02/2023;7354389347629912;18374186501557;39342.46;54187.16;RXhjxizRDScdYg;AjHvnmWtEvXQNN;
lMuuqVymrTsINTBWfZQAeclzdxVqcArmuj;4164af8e-26a1-4816-81be-c96ebe706aa4;5925361499;21/02/2023;12/03/2023;7286783645186195;08004753041476;88572.38;99494.11;dswnVqrAXpoQef;KTubfwmPNvOSbA;
UlDJEijDdZyphQRPlJJIoiZexFMsDfDbxn;a73bbe52-0ed7-4c80-b754-b3a9adb3a2d1;1347602151;20/01/2023;22/05/2023;4486666298258785;49881581255070;56713.69;79181.51;fuKlpyIUmYcNux;rmgWjIrSoUARVF;
aNGsRaRrkmrYMZbxMhhHymcEPkDQIsPpAi;47faf72c-f655-4144-b4be-32c7e4354acf;4736273735;28/06/2023;12/09/2023;6431262636821218;05260789361937;22160.30;33291.24;KWBWLgkvUjLvkq;NKuNUcAJaPrkMi;
FEUWwPrqhqQNTuLAFgIehLgizmHGzpTxtF;a91af1a8-7577-4ff5-abc0-b27c091ef39c;6935372303;22/06/2023;6/05/2023;5088143990958429;96963190325274;10247.67;45588.84;mRvaXKNOqULBrL;pCfxZhgZcfSrDY;
gomvhFoBvmQgJCAGXbfquPRKJZVbWFkbBV;5081d88b-57e2-4f68-8c4c-641e555f58f9;8134694631;26/01/2023;28/09/2023;0754493087120412;15926494766858;26978.98;64626.94;jDHHFDmPfdkEWt;ldXgBkthpuzXvM;
dGrdlaKoJgAcrUvFpeZBDxJBETLftDmsFB;d5bfad4f-b4de-43db-8928-a3cc247a93b9;4146038540;1/01/2023;30/02/2023;7036497895952576;11921303744609;67065.63;83052.49;NUYQWdtMHZeKJi;WPuoGngbHAdbmY;
KtfVdoURlcWTWcyqcPDYVzmkQrIqnRXCDu;9e80f94d-da03-4540-9ac7-540f3796f904;2944427409;27/02/2023;21/02/2023;8719958422367609;31689112914565;42447.45;84002.51;PEZLbYQhckUqkM;VZwiyeGQEOCWkV;
rSLlrHLkvmWFryvXQnUzFZfoUAqOHCdlzi;d443a797-d0b2-4c85-a357-8945b1885685;1182691990;17/07/2023;22/04/2023;2778928017817559;04443460002491;32591.75;73738.98;xwOFZOjjJfzbsj;wcqPMLndnQEwaH;
EBOQqAcEWQZsBZSOazyrLIOOVrgOOLknNT;1e757046-93c3-44c2-a677-731113780b0d;4664844275;9/02/2023;8/04/2023;3676453412411366;23294655080206;14820.93;04989.89;qnEKIKniBRiGgV;kcDYPNIbgrCiEE;
AvKqgtCICnWYMqnqDDuEByrXfoIYEuiwwn;c893116e-c9d4-4bda-ae76-6f8f103c1e2a;4942370858;26/06/2023;4/04/2023;4959573897361267;15736136523766;98877.45;10689.67;cwoqIWxMFrJsIZ;qadAwgpheLgcds;
sHUuSSitNTRXjWtiJTOqzoubsnFtooYhcq;8b1d7bf8-88b4-435c-a4ce-739e8ad069d0;1322114101;28/02/2023;11/05/2023;1502423485646295;52460419636901;24971.94;02516.87;OiOcJveVOHroxn;LitBXnsLDBCTxh;
amniAfNodNFTYvJWkcrheDoSCOacsPVvWL;3cbe0c6a-2631-4b01-9337-35acb14881d9;5554154499;20/06/2023;29/04/2023;7723615685086766;44937325866407;22174.23;19735.37;YCMseKDozkPjMt;GmyeAGBWZGoUau;
EkmkyPUGKVJOuSeHhhgIbaxnVMHJLmqYuI;a61a8174-9318-45f0-be5c-032f592ccd7f;0609167964;22/01/2023;3/06/2023;3344373350758853;37680721776264;30020.12;64831.12;iZArvBVgDZxeKp;jfRkNUDVvfbsDF;
iodHMrrUEyOvYtNQHYFmKNRANscokTjsyg;f1a53ffa-ee3a-470d-b2de-4b8bf63a8a66;5232975274;3/05/2023;27/05/2023;3784017234227476;44770125083264;18689.30;96298.44;TalQAdyHnynKYe;LGKkcdTjVGYgvF;
OZmmuDgnOqDlkbvUZlTtfoWFjyBBHFSIIO;ea3153dd-f5e4-40c7-9bc8-c533c8d6489b;0490878239;24/08/2023;6/07/2023;1151853199751603;37619763152146;27062.99;35121.43;SmPhnrWXaNAfDh;XavkpvenaMGBFA;
QWbBtNTuBpVOBoVkzCnVblUZNTNUtwuyTN;238a09f0-1a2e-4309-a6f8-e464156e78ea;3118918345;13/05/2023;12/09/2023;5874956230226228;54305264117904;03285.75;26516.28;hOljYmdSzJpZPo;gWaSWpnNKhiJLv;
MDlqQSildplYMapTagAKbVgOIlSaLOZAtq;cf3a10f3-28fb-47a9-91e6-5ca67a25ee13;6298441408;8/06/2023;11/05/2023;7468621084603289;10772564087146;83696.68;29304.02;ecyWTnjmEyRbfd;tgVlvebxmKKKBe;
PJhLNuGtsAdXoUVkDPVUTzSxCNycoercna;c6f2f8ea-3d3e-445f-88de-0bacc768165b;5466019277;14/06/2023;9/03/2023;8815682453964321;04001524753335;61611.39;14745.05;QmeDbFjgewNhcY;BufIeUeSDyInTw;
VnyAznutycwsjsgvagJfqOlDQuCuVajbqq;ab91452a-6afe-47cc-b788-614f36b89742;7842765859;18/08/2023;28/09/2023;1403039642641896;49537669972111;12015.33;82779.67;TzYTdrmvLQLZOO;stbSfRfbqOJtqk;
qsTilcIPVIcDrnniskoDKSgvpVRTYjSKCq;306e3bd3-c6c4-4253-80e3-703bb514ae23;4589991267;18/05/2023;17/01/2023;7692914449908092;49971893844849;51401.61;85216.30;IjcqkmKeVLKscm;GSYXFeTfiYlAbi;
SSGSmXpwbdIewYQowYoFkavfYTOglDniqI;664f68f1-3532-4af7-a85e-20c79f48a3d6;7142422750;16/05/2023;17/04/2023;3677452412814147;88429612079226;99382.07;27041.10;QtMIWmDpOzadzw;ZvTrgRlsLBhlZz;
jLxGoFxnZoHdnTEOoCoHWTLgYFnrKQiZvK;29587c21-111e-4a6a-b194-c685faa88b46;9200220263;18/05/2023;25/05/2023;6010644510558899;20368770979935;47546.29;93040.78;ukcgntldTbpeFu;dIInmMDZQGZYtW;
TUtdojnSZUAyadHcvgkwowKjTOaDaFXfWq;33824d4a-3feb-4b05-bb81-0bfc6a253ebf;7892549938;5/09/2023;15/02/2023;0841638724563012;22104746518560;66850.01;05872.46;cBJlosGCMAyoGk;BPKQekGxlFVafi;
IMqCMmskWvpEfiSzHxqjpBpgYxZDpVrPvL;ab3911b7-1508-4ca5-9a52-19a8782cc41c;2097540966;2/04/2023;4/09/2023;4033712581944186;09312058246205;04783.21;65358.28;sTnIideilmKddx;gbRrFdszULRokG;
exXjtnuUagdZIesNokAvxyvEWReczHVJum;dafe9ffc-776f-46d2-aaab-d02b124289c5;1615158890;27/02/2023;23/04/2023;3718044092813872;35569868206655;14748.91;35274.97;aLktSLOfBkwSqr;YPgiGYqJvrpqCz;
wMHdTGmdFVkuzcXAToQXNdHdKxFwhqgecY;dfeda36f-fd48-4c57-ba17-0293114ae9a2;0100368759;17/04/2023;13/01/2023;8195896623506322;40882565442535;33834.41;51649.06;wIiLJRTVqhYnHD;HQCaDILTePvUfk;
wqFbgssxVilspIzJULcVxvfUFjhREfWKls;ad781d71-7c06-4287-a637-6865dbf61e29;0698379825;29/09/2023;14/05/2023;1872591990203925;79404943605783;13746.63;53957.37;VhQMOigyAWnsGw;axzGIIWqEHEZko;
IuUhrukFQOOFpqcYosPZvNNDfcgKOZzXQY;c59c6dde-965f-4b81-a7f0-2dd7254971f1;7898535336;15/09/2023;8/07/2023;3314863696496887;07152126709062;60368.54;46532.47;weTVFWYMGkplkt;RGKNIJovwfiGHR;
PPjKXCRtZCtGhJrVlXhMBvbNfcEurKDdkw;8e1c31f9-68bb-454c-97fa-555cef3b2122;9478428247;10/01/2023;11/08/2023;8976597629362068;83649742741356;96090.97;62791.14;bBxYGGuPpdCNfW;hJLvmudiDIQfqB;
uBrGdHpwLLsbLUQoblwIBRWXuwMDfBghHN;2b8c0548-292e-4294-961d-bf3ec9ad4805;4474692956;3/07/2023;18/03/2023;4006342057505846;47408619019153;81400.88;12096.77;sUtrzfhnYGnffN;XDJrDpWvUHAUsX;
KYCyNADqjnCusSoVgXOTIjPeYfsLjPlUov;1a6a53c1-2f56-4b6a-b173-153680496da9;5029769836;17/02/2023;20/03/2023;0462726611095773;97458000289735;74505.01;73795.23;SDrXeAjeHKTgDi;EHssSokZiKxeHv;
eyYvKJnwQOHdhjAaVrRYTkHgHgGaGyayLB;3d4338b2-08c8-4ded-97c3-a45515a1b282;3437522043;26/04/2023;16/09/2023;7775733766359815;57362183081866;66398.01;49130.28;uVzjYaIxiSdpfX;yuidAyPsmKkWVx;
EwCcsDicLtPykimeTwtOwMSSIMWRXnxZas;3967f551-fc3d-43ae-9065-39e61e6ad09e;8175126965;7/04/2023;20/01/2023;2478884975112657;43420958593588;49714.24;21830.65;wGNnhItSwTKZnv;FtnmedfoIeJOjT;
LieSzbXhpnkJGaeSlyroTmPGlTLlHbSNyJ;08b2c25c-29d6-4421-9ef3-e4fddc31d493;9802135407;14/06/2023;14/03/2023;5107299216918690;18164164695491;94972.33;68265.71;dgeedeWGcKMwcd;GRYaevdYXJWtSC;
vzwsfLwwKpjMeapPbZZMRAsCJNDpCIUqwq;dead887c-5846-4189-85ee-9c3e1f53cd92;7573706641;9/06/2023;11/03/2023;3240808509106666;96749014020338;89836.40;59087.31;PPxhCAjMtWHsNw;uGhjBHkdJNBZSD;
TnhrkOgZmmJItBLwOQsYmeJlCUhTnyTJBG;86c9675d-eaa2-410c-a5bb-cb0207a290df;5049209291;17/06/2023;9/07/2023;7642738066482895;76147972198976;77648.34;03545.69;dgtmaEQStqdffb;BmitlTKkKWcnrd;
KNuHyLdjDDbHpqhDklgObbbCMVXtUEbzkb;5ee8b0b7-dfd0-4ed5-8323-30549fc7bd64;5488848524;9/04/2023;6/02/2023;9395818908947510;37964983993718;60642.07;67158.83;BiNKFbWVSARGma;oOPigIUOPTAwIz;
TGTcZLnbEfCBRdBVoDVEqVPvGfufbtRdSP;a6218d99-1396-4c39-95c2-9e9450ed2cc6;6649343666;29/08/2023;10/01/2023;2343548898525607;94476166333913;14713.22;31602.78;zsgHOhRKCThsvR;kbijYUsnKpwlVh;
dznOkPBHuexpwSasVqLKPmOwsDzDKSTCXY;b8f44a3d-8965-40ca-bf94-f9ffb368d767;4377369267;8/06/2023;13/01/2023;7297696653870705;08941679293765;52867.06;75963.11;crIziQnyHJVwyv;ConfYozdgzZhMS;
oUYykVnikbuDiRyeWvosOGzJHvBiWvAUOw;f9bf6798-432a-461e-a125-cce9204d530a;1518788063;29/03/2023;30/07/2023;2024526020774738;61243073921782;00326.62;44704.14;PUwUYpsAXwivZR;kyioAklXCDIwFy;
nlefYrVZxVbczIuVFGADfwGNKLNyVfYxEM;67fff21b-5d46-400e-96d7-6117b7362754;9803692436;3/09/2023;15/07/2023;0532863355287095;38750642306284;23071.54;36423.74;OPCkdubklEHkJC;tpdHYKzhleuSyu;
tpXMfuvtPDZoLKuaCzEuFWIKAitJdDJzpN;8cc1d11b-c91c-4fc4-a556-e7d148d43e46;0790157355;29/06/2023;25/07/2023;0498486959953580;96372299597046;79047.33;13355.06;pFUVacVzbZdjSf;qOiLMprkvcriQJ;
UUtJeaVqdSrTNMyoBdtcdKMPpgdTzxulDH;4d598ae7-81eb-421f-baf7-f743291925cd;5741582637;22/04/2023;14/03/2023;3682438806791559;27265996560868;69933.46;89249.65;TivouGERIuJxaw;tTXiCoeFVvaFIr;
LoteeJziKSjmZNlcpItPhdBTCkRCqjQsYS;e5e5c525-5ade-4c47-9cc4-45edbef97feb;8005637729;30/03/2023;27/09/2023;7674303279181815;40705070467708;67942.74;92553.86;VWCewgjzrfHaCT;pNIysXRsiWKMwE;
gXchWcyLPBAHWoKQMmkbGGrImiDjkRSafX;2ea4325e-63e4-4fca-a89a-8d3513a8c02b;2492870435;1/08/2023;5/06/2023;2770546476243802;67003680149678;55344.65;55317.49;AFuWKsAJCXpWMP;bzSTRUgNEZdKHq;
OdQCXajIbaoeLgWJtbbvdseJUhLDRGVVFz;3e9962b4-e167-40d5-9750-c9f980cd7b6e;0042474688;15/04/2023;13/04/2023;6221263694671492;42042808242275;20148.40;45480.64;NLqnoJUyRPiLeG;dEvNGkOtwadWiO;
BHHYeVTVVuvRvobxfChbydzUxwopvUxWoA;ca9c70d7-7674-41ea-aa44-a2a495af3e33;3650005646;22/02/2023;17/06/2023;3056395362324072;13770727422470;39598.25;42686.07;FfeQTAHxpFZFcp;OyLJaaFDGdYPuN;
gJsTISRpRFbFmyPsqeIPOSKtAcrIlPzXwR;deba4482-94bc-4bb5-aadb-3dbe757ddab3;3428909120;1/03/2023;19/04/2023;5359380067319987;32625915462375;50560.01;95113.74;pXsNTjdKBQKcid;HpsysGrWmYUNfr;
DRqJhYFcekqAKrXTgQudUGsxviifGhsKAs;4cc1f272-91c4-4aba-8fc8-30edeb1a263f;1844188532;1/05/2023;24/06/2023;2627420894564610;97963766248188;01427.74;08568.87;tSSKfjRLrNkCbN;MTwtifxVqaqifN;
QXznUDJkpWjgzOrOJfXLpXbpPPFOmqZGWm;a7f65d25-009c-425a-a460-6805a3937257;8088767003;15/07/2023;27/04/2023;6554637935457883;14883495611681;51630.37;74439.40;MCoeMObUnBbcly;aLyJplEcwZAkaK;
CNPDjXnIRmnCLLzncYiswRhMHtUqqYZCap;d15fcc82-4374-4ab7-a134-4ec8a13ffdc9;5487134805;25/06/2023;16/05/2023;0727147249396101;91433374971423;56068.92;83129.04;ixxqCahQipoirl;kyAOrLcuChwZki;
zjuhieGuUoKWiMJIywhKiyQQjhyrerFCMe;e5f796dc-2556-478d-ad6a-af42cb1400bd;6137768305;16/09/2023;25/03/2023;9571732149404992;39512618868919;31589.36;11471.71;ieOAXcvZEWTiNr;VYxsIOgTlxEJxY;
xwZYygqvqHjJMGQvHnFnMnEFSPSkSlfcoU;36944629-b537-4b69-8f74-d84706ff2aae;3426197384;21/03/2023;11/01/2023;6612692202241163;92863755429667;69931.04;53203.04;ABDTGWNceZmAoC;RlQJEgpsKHaCCb;
xGvlBPqbJulorNTsUHMUryjxexawqqxFSI;e3c8ccbe-06e6-488c-928d-89e6226f2f21;8061401953;10/09/2023;21/08/2023;8930409778779060;61897697468322;16088.41;95532.57;BQzhnQxGRvOMJX;qmYZWFgfQVOsTS;
QBGyXnSExZSqCPhKHXxXorJrUeEcvhYmqE;76d1c561-cd9b-4cb3-a36a-7134c0645ee5;8379849017;21/01/2023;17/03/2023;7989021374290302;67793112450172;98582.92;02770.61;eguOvQrOhrOpxs;rnIjAaxpWCWYqL;
MiqWLcOHHYczCUIeMdHCzqyjfZnJbhQjWT;0b45ba85-c8e3-4289-b94b-81f0440bf23f;3914347975;12/07/2023;14/09/2023;9863700658538454;18352714242878;92683.44;88027.69;KQCKYbzEBtvHRn;gBtkpdinATfpAE;
hIHUDoAZTjXhKZrJatvbYjHucnrAVhjFap;ba6c9d42-6b73-4dce-b51b-38fb4c00989f;9039436401;4/03/2023;4/01/2023;0142138527981536;75132523351334;14140.17;32608.70;OTAadBaFllJfXB;TWrowXbLpbCRCr;
dUStZdHRMvqPxyoeyicGUagiPECksBgKdg;7d9df475-89b9-4ecc-b3fc-d1617c068bcf;6567438481;23/09/2023;13/06/2023;9024361546838184;67341973754126;30376.49;41095.78;KsITXrDepYYbJm;euufzshWZTkGJu;
emggmmuBStmDuSXHcECxRnDjLwKSTRNEch;260fd3ec-db29-445a-92e6-b37c5458dc2a;6696407242;1/01/2023;24/08/2023;9003585406519870;74902890344874;58075.55;20730.00;XLfVlZkLaGUIux;AdosfOidZoJMmy;
UNMORjMqdmCzTdrIeruwMaBdwaJEsmKYvk;d5a56661-2ad8-4b1b-bc74-1368d7c36e22;9001839269;27/02/2023;12/07/2023;9070257749230046;06177690074114;97513.06;24756.41;IMuoYxxkTiCzAq;lRZCmTLLZnGsGn;
